Plain language specs                      input                         output

1) One letter to titlecase (TC)           i                             I
2) One word to TC                         george                        George
3) Multiple words to TC                   george smith                  George Smith
4) Multiple words to TC w/ exceptions     george goes to the store      George Goes to the Store
    4a) Ignore articles                   ''                            ''
    4b) Except at beginning of string     the george and the fury       The George and the Fury
5) All Caps to TC                         GEORGE                        George
6) Partial Caps to TC                     gEoRgE                        George
7) Special characters to TC               17 georges!                   17 Georges!
8) Intraword exceptions to TC             george maccloud               George MacCloud
9) Other exceptions to TC                 ke$ha                         Ke$ha
